segment,maker,model,powertrain,fuel,engine,price,inspection,electric_wh_per_km,hydrogen_km_per_kg
combustion,Toyota,AQUA "X",hybrid,34.3,1.49,2486000,100000,0,0
combustion,Toyota,AQUA "X" E-Four,hybrid,30,1.49,2684000,100000,0,0
combustion,Toyota,AQUA "G",hybrid,33.6,1.49,2654300,100000,0,0
combustion,Toyota,AQUA "G" E-Four,hybrid,30,1.49,2852300,100000,0,0
combustion,Toyota,AQUA "Z",hybrid,33.6,1.49,2824800,100000,0,0
combustion,Toyota,AQUA "Z" E-Four,hybrid,30,1.49,3022800,100000,0,0
combustion,Toyota,YARIS "X",hybrid,36.0,1.49,2249500,95000,0,0
combustion,Toyota,YARIS "X" E-Four,hybrid,30.2,1.49,2473900,95000,0,0
combustion,Toyota,YARIS "X" 2WD,gasoline,20.3,1.49,1848000,95000,0,0
combustion,Toyota,YARIS "X" 4WD,gasoline,18.6,1.49,2061400,95000,0,0
combustion,Toyota,YARIS "X" 6MT,gasoline,19.1,1.49,1771000,95000,0,0
combustion,Toyota,YARIS "G",hybrid,35.8,1.49,2445300,95000,0,0
combustion,Toyota,YARIS "G" E-Four,hybrid,30.2,1.49,2669700,95000,0,0
combustion,Toyota,YARIS "G" 2WD,gasoline,20.0,1.49,2072400,95000,0,0
combustion,Toyota,YARIS "G" 4WD,gasoline,18.6,1.49,2286900,95000,0,0
combustion,Toyota,YARIS "G" 6MT,gasoline,19.1,1.49,1996500,95000,0,0
combustion,Toyota,YARIS "Z",hybrid,35.4,1.49,2669700,95000,0,0
combustion,Toyota,YARIS "Z" E-Four,hybrid,30.2,1.49,2884200,95000,0,0
combustion,Toyota,YARIS "Z" 2WD,gasoline,20.3,1.49,2301200,95000,0,0
combustion,Toyota,YARIS "Z" 4WD,gasoline,18.6,1.49,2515700,95000,0,0
combustion,Toyota,YARIS "Z" 6MT,gasoline,19.1,1.49,2197800,95000,0,0
combustion,Toyota,YARIS CROSS "X",hybrid,30.8,1.49,2510200,105000,0,0
combustion,Toyota,YARIS CROSS "X" E-Four,hybrid,28.6,1.49,2757700,105000,0,0
